4010101001;Nama Produk;;Nama Material;;Jumlah Per Karton;Satuan
;;1050200004;PARFUM BABY YELLOW MOD I ;0,06%;0,002742854;KG
;;1050200011;PARFUM INTENSIVE SOFT 1 E20009234 ;0,10%;0,004571424;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,15%;0,006857136;KG
;;1050100037;CHEMICAL AQUADEST ;99,25%;4,53713832;KG
;;;;;;
4010108005;WETKINS BABY PINK 50S @6;3020301001;JR FN 40-76 H 30% R/70%P 37 CM (WETKINS);;0,2808;KG
;;2010717007;CARTON BOX SINGLE WALL 10S & 24S NO 4 ;;1;PCS
;;2010106002;PACKAGING WETKINS BABY PINK 50S @5714;;6;PCS
;;2010300013;STC REMOVABLE TRANSPARANT 38X70 MM @5400;;6;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,000914285;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,001371427;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,24%;0,002742854;KG
;;1050200004;PARFUM BABY YELLOW MOD I ;0,06%;0,000685714;KG
;;1050200011;PARFUM INTENSIVE SOFT 1 E20009234 ;0,10%;0,001142856;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,15%;0,001714284;KG
;;1050100037;CHEMICAL AQUADEST ;99,25%;1,13428458;KG
;;;;;;
3050102001;WIP WETKINS BABY PINK 50S ;3020303010;JR FN 40-76 H 20% R/80%P 36 CM ADPZ40;;1,1232;KG
;;2010106002;PACKAGING WETKINS BABY PINK 50S @5714;;24;PCS
;;2010300004;STC REMOVABLE TRANSPARANT ORG @5800;;24;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,05%;0,00208;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,00499;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,09%;0,00374;KG
;;1050200004;PARFUM BABY YELLOW MOD I ;0,06%;0,00249;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;0,00519;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,30%;0,01247;KG
;;1050100037;CHEMICAL AQUADEST ;99,26%;4,12488;KG
;;;;;;
4010108002;WETKINS BABY PINK 50S BND @12X2;3050102001;WIP WETKINS BABY PINK 50S ;;24;PCK
;;2010716003;CARTON BOX WETKINS 50S ;;1;PCS
;;2013100001;PARTISI COAK 1 205 X 190 MM WETKINS 50S  ;;1;PCS
;;2013100002;PARTISI COAK 1 355 X 190 MM WETKINS 50S  ;;1;PCS
;;2010606002;POLYBAG WETKINS PINK 50S @4615;;12;PCS
;;;;;;
4010108007;WETKINS BABY PINK 50S BND MCT @12X2;3020303002;JR FN 40-76 H 20% R/80%P 36 CM;;1,1232;KG
;;2010716003;CARTON BOX WETKINS 50S ;;1;PCS
;;2010106008;PACKAGING WETKINS BABY PINK 50S 01/22 @4761;;24;PCS
;;2010300013;STC REMOVABLE TRANSPARANT 38X70 MM @5400;;24;PCS
;;2010606009;POLYBAG WETKINS PINK 50S BND 06/22 @4615;;12;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,05%;0,002285712;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,005485709;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,30%;0,013714272;KG
;;1050200019;PARFUM MUSCUTE ;0,20%;0,009142848;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;0,00571428;KG
;;1050100037;CHEMICAL AQUADEST ;99,21%;4,535081179;KG
;;;;;;
4010108008;WETKINS BABY PINK 50S BND MCT OL @18X2;3020303002;JR FN 40-76 H 20% R/80%P 36 CM;;1,6848;KG
;;2010716003;CARTON BOX WETKINS 50S ;;1;PCS
;;2010106002;PACKAGING WETKINS BABY PINK 50S @5714;;36;PCS
;;2010300013;STC REMOVABLE TRANSPARANT 38X70 MM @5400;;36;PCS
;;2010606002;POLYBAG WETKINS PINK 50S @4615;;18;PCS
;;2010400042;STC LABEL QR ;;18;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,005485709;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,008228563;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,30%;0,020571408;KG
;;1050200019;PARFUM MUSCUTE ;0,20%;0,013714272;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,15%;0,010285704;KG
;;1050100037;CHEMICAL AQUADEST ;99,15%;6,798850344;KG
;;;;;;
4010108009;WETKINS BABY PINK 50S MCT @36;3020303002;JR FN 40-76 H 20% R/80%P 36 CM;;1,6848;KG
;;2010702002;CARTON BOX BIO-KARPELA FEMININE HGN 10S ;;1;PCS
;;2010106008;PACKAGING WETKINS BABY PINK 50S 01/22 @4761;;36;PCS
;;2010300013;STC REMOVABLE TRANSPARANT 38X70 MM @5400;;36;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,05%;0,002285712;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,005485709;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,30%;0,013714272;KG
;;1050200019;PARFUM MUSCUTE ;0,20%;0,009142848;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;0,00571428;KG
;;1050100037;CHEMICAL AQUADEST ;99,21%;4,535081179;KG
;;;;;;
4010108010;WETKINS BABY PINK 50S MCT @24;3020303002;JR FN 40-76 H 20% R/80%P 36 CM;;1,1232;KG
;;2010716003;CARTON BOX WETKINS 50S ;;1;PCS
;;2010106008;PACKAGING WETKINS BABY PINK 50S 01/22 @4761;;24;PCS
;;2010300013;STC REMOVABLE TRANSPARANT 38X70 MM @5400;;24;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,05%;0,002285712;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,005485709;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,30%;0,013714272;KG
;;1050200019;PARFUM MUSCUTE ;0,20%;0,009142848;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;0,00571428;KG
;;1050100037;CHEMICAL AQUADEST ;99,21%;4,535081179;KG
;;;;;;
4010108011;WETKINS BABY PINK 50S BND MCT @16X2;3020303002;JR FN 40-76 H 20% R/80%P 36 CM;;1,4976;KG
;;2010716002;CARTON BOX WETKINS 10S @108 ;;1;PCS
;;2010106008;PACKAGING WETKINS BABY PINK 50S 01/22 @4761;;32;PCS
;;2010300013;STC REMOVABLE TRANSPARANT 38X70 MM @5400;;32;PCS
;;2010606002;POLYBAG WETKINS PINK 50S @4615;;16;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,05%;0,003047616;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,007314278;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,30%;0,018285696;KG
;;1050200019;PARFUM MUSCUTE ;0,20%;0,012190464;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;0,00761904;KG
;;1050100037;CHEMICAL AQUADEST ;99,21%;6,046774906;KG
;;;;;;
4010108012;WETKINS BABY PINK 50S REG @32;3020303002;JR FN 40-76 H 20% R/80%P 36 CM;;1,4976;KG
;;2010716002;CARTON BOX WETKINS 10S @108 ;;1;PCS
;;2010106008;PACKAGING WETKINS BABY PINK 50S 01/22 @4761;;32;PCS
;;2010300013;STC REMOVABLE TRANSPARANT 38X70 MM @5400;;32;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,05%;0,003047616;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,007314278;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,30%;0,018285696;KG
;;1050200019;PARFUM MUSCUTE ;0,20%;0,012190464;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;0,00761904;KG
;;1050100037;CHEMICAL AQUADEST ;99,21%;6,046774906;KG
;;;;;;
4010108003;WETKINS BABY PINK 50S FT @24;3020303002;JR FN 40-76 H 20% R/80%P 36 CM;;1,1232;KG
;;2010716003;CARTON BOX WETKINS 50S ;;1;PCS
;;2010106002;PACKAGING WETKINS BABY PINK 50S @5714;;24;PCS
;;2010300001;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;;24;PCS
;;2011000001;FLIP TOP WHITE (NEW CHINA) ;;24;PCS
;;2010203002;STC FLIPTOP WKN BABY PINK 50S FT @4000;;24;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,003657139;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,005485709;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,24%;0,010971418;KG
;;1050200004;PARFUM BABY YELLOW MOD I ;0,06%;0,002742854;KG
;;1050200011;PARFUM INTENSIVE SOFT 1 E20009234 ;0,10%;0,004571424;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,15%;0,006857136;KG
;;1050100037;CHEMICAL AQUADEST ;99,25%;4,53713832;KG
;;;;;;
4010108004;WETKINS BABY PINK 50S FT @14;3020303002;JR FN 40-76 H 20% R/80%P 36 CM;;0,6552;KG
;;2010717005;CARTON BOX SINGLE WALL 50S ON LINE ;;1;PCS
;;2010106002;PACKAGING WETKINS BABY PINK 50S @5714;;14;PCS
;;2010300001;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;;14;PCS
;;2011000001;FLIP TOP WHITE (NEW CHINA) ;;14;PCS
;;2010203002;STC FLIPTOP WKN BABY PINK 50S FT @4000;;14;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,002133331;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,003199997;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,24%;0,006399994;KG
;;1050200004;PARFUM BABY YELLOW MOD I ;0,06%;0,001599998;KG
;;1050200011;PARFUM INTENSIVE SOFT 1 E20009234 ;0,10%;0,002666664;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,15%;0,003999996;KG
;;1050100037;CHEMICAL AQUADEST ;99,25%;2,64666402;KG
;;;;;;
4010108006;WETKINS BABY PINK 50S FT @16;3020303002;JR FN 40-76 H 20% R/80%P 36 CM;;0,7488;KG
;;2010717005;CARTON BOX SINGLE WALL 50S ON LINE ;;1;PCS
;;2010106002;PACKAGING WETKINS BABY PINK 50S @5714;;16;PCS
;;2010300001;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;;16;PCS
;;2011000001;FLIP TOP WHITE (NEW CHINA) ;;16;PCS
;;2010203002;STC FLIPTOP WKN BABY PINK 50S FT @4000;;16;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,002438093;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,003657139;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,24%;0,007314278;KG
;;1050200004;PARFUM BABY YELLOW MOD I ;0,06%;0,00182857;KG
;;1050200011;PARFUM INTENSIVE SOFT 1 E20009234 ;0,10%;0,003047616;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,15%;0,004571424;KG
;;1050100037;CHEMICAL AQUADEST ;99,25%;3,02475888;KG
;;;;;;
4010109001;WETKINS BABY PINK 80S FT @18;3020303002;JR FN 40-76 H 20% R/80%P 36 CM;;1,34784;KG
;;2010716003;CARTON BOX WETKINS 50S ;;1;PCS
;;2010108002;PACKAGING WKN PINK 80S FT @4166;;18;PCS
;;2010300001;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;;18;PCS
;;2011000001;FLIP TOP WHITE (NEW CHINA) ;;18;PCS
;;2010203006;STC FLIPTOP WKN PINK 80S FT @4000;;18;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,004388567;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,006582851;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,24%;0,013165701;KG
;;1050200004;PARFUM BABY YELLOW MOD I ;0,06%;0,003291425;KG
;;1050200011;PARFUM INTENSIVE SOFT 1 E20009234 ;0,10%;0,005485709;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,15%;0,008228563;KG
;;1050100037;CHEMICAL AQUADEST ;99,25%;5,444565984;KG
;;;;;;
4010109002;WETKINS BABY PINK 80S FT @24;3020303002;JR FN 40-76 H 20% R/80%P 36 CM;;1,79712;KG
;;2010717002;CARTON BOX 37X33X17 CM (HB 50S) ;;1;PCS
;;2010108002;PACKAGING WKN PINK 80S FT @4166;;24;PCS
;;2010300001;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;;24;PCS
;;2011000001;FLIP TOP WHITE (NEW CHINA) ;;24;PCS
;;2010203006;STC FLIPTOP WKN PINK 80S FT @4000;;24;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,004388567;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,006582851;KG
;;1050100029;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,24%;0,013165701;KG
;;1050200004;PARFUM BABY YELLOW MOD I ;0,06%;0,003291425;KG
;;1050200011;PARFUM INTENSIVE SOFT 1 E20009234 ;0,10%;0,005485709;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,15%;0,008228563;KG
;;1050100037;CHEMICAL AQUADEST ;99,25%;5,444565984;KG
;;;;;;
4010110001;WETKINS BABY PINK 100S @18;3020303002;JR FN 40-76 H 20% R/80%P 36 CM;;1,6848;KG
;;2010716003;CARTON BOX WETKINS 50S ;;1;PCS
;;2010109001;PACKAGING WKN BABY PINK 100S FT @3846;;18;PCS
;;2010300013;STC REMOVABLE TRANSPARANT 38X70 MM @5400;;18;PCS
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,15%;0,010285704;KG
;;1050100035;CHEMICAL VANTOCIL TG/PHMB 20% ;0,30%;0,020571408;KG
;;1050200017;PARFUM MELON FLOWERY 14576 ;0,05%;0,003428568;KG
;;1050100023;CHEMICAL MONTANOX DF 20/GLYCOSPERSE ;0,04%;0,002742854;KG
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,10%;0,006857136;KG
;;1050100028;CHEMICAL SODIUM BENZOAT ;0,70%;0,047999952;KG
;;1050100037;CHEMICAL AQUADEST ;98,66%;6,765250378;KG
;;;;;;
4010110005;WETKINS BABY PINK 100S @24;3020303002;JR FN 40-76 H 20% R/80%P 36 CM;;2,2464;KG
;;2010717002;CARTON BOX 37X33X17 CM (HB 50S) ;;1;PCS
;;2010109001;PACKAGING WKN BABY PINK 100S FT @3846;;24;PCS
;;2010300013;STC REMOVABLE TRANSPARANT 38X70 MM @5400;;24;PCS
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,15%;0,013714272;KG
;;1050100035;CHEMICAL VANTOCIL TG/PHMB 20% ;0,30%;0,027428544;KG
;;1050200017;PARFUM MELON FLOWERY 14576 ;0,05%;0,004571424;KG
;;1050100023;CHEMICAL MONTANOX DF 20/GLYCOSPERSE ;0,04%;0,003657139;KG
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,10%;0,009142848;KG
;;1050100028;CHEMICAL SODIUM BENZOAT ;0,70%;0,063999936;KG
;;1050100037;CHEMICAL AQUADEST ;98,66%;9,020333837;KG
;;;;;;
4010110006;WETKINS BABY PINK 100S @16;3020303002;JR FN 40-76 H 20% R/80%P 36 CM;;1,4976;KG
;;2010717002;CARTON BOX 37X33X17 CM (HB 50S) ;;1;PCS
;;2010109001;PACKAGING WKN BABY PINK 100S FT @3846;;16;PCS
;;2010300013;STC REMOVABLE TRANSPARANT 38X70 MM @5400;;16;PCS
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,15%;0,009142848;KG
;;1050100035;CHEMICAL VANTOCIL TG/PHMB 20% ;0,30%;0,018285696;KG
;;1050200017;PARFUM MELON FLOWERY 14576 ;0,05%;0,003047616;KG
;;1050100023;CHEMICAL MONTANOX DF 20/GLYCOSPERSE ;0,04%;0,002438093;KG
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,10%;0,006095232;KG
;;1050100028;CHEMICAL SODIUM BENZOAT ;0,70%;0,042666624;KG
;;1050100037;CHEMICAL AQUADEST ;98,66%;6,013555891;KG
;;;;;;
4010110002;WETKINS BABY PINK 100S FT @24;3020303002;JR FN 40-76 H 20% R/80%P 36 CM;;2,2464;KG
;;2010717002;CARTON BOX 37X33X17 CM (HB 50S) ;;1;PCS
;;2010109001;PACKAGING WKN BABY PINK 100S FT @3846;;24;PCS
;;2010300001;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;;24;PCS
;;2011000001;FLIP TOP WHITE (NEW CHINA) ;;24;PCS
;;2010203013;STC FLIPTOP WKN PINK 100S FT ;;24;PCS
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,15%;0,013714272;KG
;;1050100035;CHEMICAL VANTOCIL TG/PHMB 20% ;0,30%;0,027428544;KG
;;1050200017;PARFUM MELON FLOWERY 14576 ;0,05%;0,004571424;KG
;;1050100023;CHEMICAL MONTANOX DF 20/GLYCOSPERSE ;0,04%;0,003657139;KG
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,10%;0,009142848;KG
;;1050100028;CHEMICAL SODIUM BENZOAT ;0,70%;0,063999936;KG
;;1050100037;CHEMICAL AQUADEST ;98,66%;9,020333837;KG
;;;;;;
4010110003;WETKINS BABY PINK 100S FT FG @18;3020303002;JR FN 40-76 H 20% R/80%P 36 CM;;1,6848;KG
;;2010716003;CARTON BOX WETKINS 50S ;;1;PCS
;;2010109001;PACKAGING WKN BABY PINK 100S FT @3846;;18;PCS
;;2010300001;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;;18;PCS
;;2011000001;FLIP TOP WHITE (NEW CHINA) ;;18;PCS
;;2010203014;STC FLIPTOP WKN PINK 100S FT FG ;;18;PCS
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,15%;0,010285704;KG
;;1050100035;CHEMICAL VANTOCIL TG/PHMB 20% ;0,30%;0,020571408;KG
;;1050200017;PARFUM MELON FLOWERY 14576 ;0,05%;0,003428568;KG
;;1050100023;CHEMICAL MONTANOX DF 20/GLYCOSPERSE ;0,04%;0,002742854;KG
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,10%;0,006857136;KG
;;1050100028;CHEMICAL SODIUM BENZOAT ;0,70%;0,047999952;KG
;;1050100037;CHEMICAL AQUADEST ;98,66%;6,765250378;KG
;;;;;;
4010110004;WETKINS BABY PINK 100S FT FG MLN @18;;;;;
;;;;;;
;;;;;;
4010111001;WETKINS ANTISEPTIC 1S @720;3020301002;JR FN 40-76 H 30% R/70%P 14 CM WKN 1S;;0,504;KG
;;2010706001;CARTON BOX AIR FAST/ HQ ;;1;PCS
;;2010101001;PACKAGING WKN 1S ANTISEPTIC @15000;;720;PCS
;;2010607006;PLASTIK PP 16X25CM ;;0,1626;KG
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,00153846;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,002461536;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;0,0025641;KG
;;1050100035;CHEMICAL VANTOCIL TG/PHMB 20% ;0,20%;0,00410256;KG
;;1050100037;CHEMICAL AQUADEST ;99,48%;2,040613344;KG
;;;;;;
4010112001;WETKINS ANTISEPTIC 10S @108;3020301005;JR FN 40-76 H 30% R/70%P 27 CM;;1,01088;KG
;;2010716002;CARTON BOX WETKINS 10S @108 ;;1;PCS
;;2010103004;PACKAGING WKN UNSCENTED 10S DOFF @6250;;108;PCS
;;2010300004;STC REMOVABLE TRANSPARANT ORG @5800;;108;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,003085711;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,004937138;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;0,005142852;KG
;;1050100035;CHEMICAL VANTOCIL TG/PHMB 20% ;0,20%;0,008228563;KG
;;1050100037;CHEMICAL AQUADEST ;99,48%;4,092887336;KG
;;;;;;
4010112003;WETKINS ANTISEPTIC 10S @18X8;3020301005;JR FN 40-76 H 30% R/70%P 27 CM;;1,34784;KG
;;2010717001;CARTON BOX HOUSE BRAND 10S ;;1;PCS
;;2010103004;PACKAGING WKN UNSCENTED 10S DOFF @6250;;144;PCS
;;2010300004;STC REMOVABLE TRANSPARANT ORG @5800;;144;PCS
;;2010607001;PLASTIK PP 20X31 CM ;;0,07542;KG
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,003085711;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,004937138;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;0,005142852;KG
;;1050100035;CHEMICAL VANTOCIL TG/PHMB 20% ;0,20%;0,008228563;KG
;;1050100037;CHEMICAL AQUADEST ;99,48%;4,092887336;KG
;;;;;;
4010112002;WETKINS ANTISEPTIC 10S BND @54X2;3020301005;JR FN 40-76 H 30% R/70%P 27 CM;;1,01088;KG
;;2010716002;CARTON BOX WETKINS 10S @108 ;;1;PCS
;;2010103004;PACKAGING WKN UNSCENTED 10S DOFF @6250;;108;PCS
;;2010300004;STC REMOVABLE TRANSPARANT ORG @5800;;108;PCS
;;2010601001;PLASTIK BANDED 10S ;;54;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,003085711;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,004937138;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;0,005142852;KG
;;1050100035;CHEMICAL VANTOCIL TG/PHMB 20% ;0,20%;0,008228563;KG
;;1050100037;CHEMICAL AQUADEST ;99,48%;4,092887336;KG
;;;;;;
4010113001;WETKINS ANTISEPTIC 24S @54;3020301005;JR FN 40-76 H 30% R/70%P 27 CM;;1,213056;KG
;;2010717001;CARTON BOX HOUSE BRAND 10S ;;1;PCS
;;2010104003;PACKAGING WKN ANTISEPTIC 24S @6060;;54;PCS
;;2010300004;STC REMOVABLE TRANSPARANT ORG @5800;;54;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,003702853;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,005924566;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;0,006171422;KG
;;1050100035;CHEMICAL VANTOCIL TG/PHMB 20% ;0,20%;0,009874276;KG
;;1050100037;CHEMICAL AQUADEST ;99,48%;4,911464803;KG
;;;;;;
4010113002;WETKINS ANTISEPTIC 24S @72;3020301005;JR FN 40-76 H 30% R/70%P 27 CM;;1,617408;KG
;;2010717002;CARTON BOX 37X33X17 CM (HB 50S) ;;1;PCS
;;2010104003;PACKAGING WKN ANTISEPTIC 24S @6060;;72;PCS
;;2010300004;STC REMOVABLE TRANSPARANT ORG @5800;;72;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,004937138;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,007899421;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;0,008228563;KG
;;1050100035;CHEMICAL VANTOCIL TG/PHMB 20% ;0,20%;0,013165701;KG
;;1050100037;CHEMICAL AQUADEST ;99,48%;6,548619737;KG
;;;;;;
4010113004;WETKINS ANTISEPTIC 24S @6;3020301005;JR FN 40-76 H 30% R/70%P 27 CM;;0,134784;KG
;;2010717007;CARTON BOX SINGLE WALL 10S & 24S NO 4 ;;1;PCS
;;2010104003;PACKAGING WKN ANTISEPTIC 24S @6060;;6;PCS
;;2010300004;STC REMOVABLE TRANSPARANT ORG @5800;;6;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,000411428;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,000658285;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;0,000685714;KG
;;1050100035;CHEMICAL VANTOCIL TG/PHMB 20% ;0,20%;0,001097142;KG
;;1050100037;CHEMICAL AQUADEST ;99,48%;0,545718311;KG
;;;;;;
4010113003;WETKINS ANTISEPTIC 24S BND @27X2;3020303002;JR FN 40-76 H 20% R/80%P 36 CM;;1,213056;KG
;;2010716003;CARTON BOX WETKINS 50S ;;1;PCS
;;2010104003;PACKAGING WKN ANTISEPTIC 24S @6060;;54;PCS
;;2010300004;STC REMOVABLE TRANSPARANT ORG @5800;;54;PCS
;;2010601002;PLASTIK BANDED 24S ;;27;PCS
;;1050100003;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,08%;0,003702853;KG
;;1050100017;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,12%;0,005924566;KG
;;1050100007;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,13%;0,006171422;KG
;;1050100035;CHEMICAL VANTOCIL TG/PHMB 20% ;0,20%;0,009874276;KG
;;1050100037;CHEMICAL AQUADEST ;99,48%;4,911464803;KG
;;;;;;
