Kode Produk;Nama Produk;Nama Material;Jumlah Per Karton;Satuan
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,00571428;KG
;;CHEMICAL AQUADEST ;4,535081179;KG
;;;;
4010108010;WETKINS BABY PINK 50S MCT @24;JR FN 40-76 H 20% R/80%P 36 CM;1,1232;KG
;;CARTON BOX WETKINS 50S ;1;PCS
;;PACKAGING WETKINS BABY PINK 50S 01/22 @4761;24;PCS
;;STC REMOVABLE TRANSPARANT 38X70 MM @5400;24;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,002285712;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,005485709;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,013714272;KG
;;PARFUM MUSCUTE ;0,009142848;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,00571428;KG
;;CHEMICAL AQUADEST ;4,535081179;KG
;;;;
4010108011;WETKINS BABY PINK 50S BND MCT @16X2;JR FN 40-76 H 20% R/80%P 36 CM;1,4976;KG
;;CARTON BOX WETKINS 10S @108 ;1;PCS
;;PACKAGING WETKINS BABY PINK 50S 01/22 @4761;32;PCS
;;STC REMOVABLE TRANSPARANT 38X70 MM @5400;32;PCS
;;POLYBAG WETKINS PINK 50S @4615;16;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,003047616;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,007314278;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,018285696;KG
;;PARFUM MUSCUTE ;0,012190464;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,00761904;KG
;;CHEMICAL AQUADEST ;6,046774906;KG
;;;;
4010108012;WETKINS BABY PINK 50S REG @32;JR FN 40-76 H 20% R/80%P 36 CM;1,4976;KG
;;CARTON BOX WETKINS 10S @108 ;1;PCS
;;PACKAGING WETKINS BABY PINK 50S 01/22 @4761;32;PCS
;;STC REMOVABLE TRANSPARANT 38X70 MM @5400;32;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,003047616;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,007314278;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,018285696;KG
;;PARFUM MUSCUTE ;0,012190464;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,00761904;KG
;;CHEMICAL AQUADEST ;6,046774906;KG
;;;;
4010108003;WETKINS BABY PINK 50S FT @24;JR FN 40-76 H 20% R/80%P 36 CM;1,1232;KG
;;CARTON BOX WETKINS 50S ;1;PCS
;;PACKAGING WETKINS BABY PINK 50S @5714;24;PCS
;;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;24;PCS
;;FLIP TOP WHITE (NEW CHINA) ;24;PCS
;;STC FLIPTOP WKN BABY PINK 50S FT @4000;24;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,003657139;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,005485709;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,010971418;KG
;;PARFUM BABY YELLOW MOD I ;0,002742854;KG
;;PARFUM INTENSIVE SOFT 1 E20009234 ;0,004571424;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,006857136;KG
;;CHEMICAL AQUADEST ;4,53713832;KG
;;;;
4010108004;WETKINS BABY PINK 50S FT @14;JR FN 40-76 H 20% R/80%P 36 CM;0,6552;KG
;;CARTON BOX SINGLE WALL 50S ON LINE ;1;PCS
;;PACKAGING WETKINS BABY PINK 50S @5714;14;PCS
;;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;14;PCS
;;FLIP TOP WHITE (NEW CHINA) ;14;PCS
;;STC FLIPTOP WKN BABY PINK 50S FT @4000;14;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,002133331;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,003199997;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,006399994;KG
;;PARFUM BABY YELLOW MOD I ;0,001599998;KG
;;PARFUM INTENSIVE SOFT 1 E20009234 ;0,002666664;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,003999996;KG
;;CHEMICAL AQUADEST ;2,64666402;KG
;;;;
4010108006;WETKINS BABY PINK 50S FT @16;JR FN 40-76 H 20% R/80%P 36 CM;0,7488;KG
;;CARTON BOX SINGLE WALL 50S ON LINE ;1;PCS
;;PACKAGING WETKINS BABY PINK 50S @5714;16;PCS
;;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;16;PCS
;;FLIP TOP WHITE (NEW CHINA) ;16;PCS
;;STC FLIPTOP WKN BABY PINK 50S FT @4000;16;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,002438093;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,003657139;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,007314278;KG
;;PARFUM BABY YELLOW MOD I ;0,00182857;KG
;;PARFUM INTENSIVE SOFT 1 E20009234 ;0,003047616;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,004571424;KG
;;CHEMICAL AQUADEST ;3,02475888;KG
;;;;
4010109001;WETKINS BABY PINK 80S FT @18;JR FN 40-76 H 20% R/80%P 36 CM;1,34784;KG
;;CARTON BOX WETKINS 50S ;1;PCS
;;PACKAGING WKN PINK 80S FT @4166;18;PCS
;;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;18;PCS
;;FLIP TOP WHITE (NEW CHINA) ;18;PCS
;;STC FLIPTOP WKN PINK 80S FT @4000;18;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,004388567;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,006582851;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,013165701;KG
;;PARFUM BABY YELLOW MOD I ;0,003291425;KG
;;PARFUM INTENSIVE SOFT 1 E20009234 ;0,005485709;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,008228563;KG
;;CHEMICAL AQUADEST ;5,444565984;KG
;;;;
4010109002;WETKINS BABY PINK 80S FT @24;JR FN 40-76 H 20% R/80%P 36 CM;1,79712;KG
;;CARTON BOX 37X33X17 CM (HB 50S) ;1;PCS
;;PACKAGING WKN PINK 80S FT @4166;24;PCS
;;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;24;PCS
;;FLIP TOP WHITE (NEW CHINA) ;24;PCS
;;STC FLIPTOP WKN PINK 80S FT @4000;24;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,004388567;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,006582851;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,013165701;KG
;;PARFUM BABY YELLOW MOD I ;0,003291425;KG
;;PARFUM INTENSIVE SOFT 1 E20009234 ;0,005485709;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,008228563;KG
;;CHEMICAL AQUADEST ;5,444565984;KG
;;;;
4010110001;WETKINS BABY PINK 100S @18;JR FN 40-76 H 20% R/80%P 36 CM;1,6848;KG
;;CARTON BOX WETKINS 50S ;1;PCS
;;PACKAGING WKN BABY PINK 100S FT @3846;18;PCS
;;STC REMOVABLE TRANSPARANT 38X70 MM @5400;18;PCS
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,010285704;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,020571408;KG
;;PARFUM MELON FLOWERY 14576 ;0,003428568;KG
;;CHEMICAL MONTANOX DF 20/GLYCOSPERSE ;0,002742854;KG
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,006857136;KG
;;CHEMICAL SODIUM BENZOAT ;0,047999952;KG
;;CHEMICAL AQUADEST ;6,765250378;KG
;;;;
4010110005;WETKINS BABY PINK 100S @24;JR FN 40-76 H 20% R/80%P 36 CM;2,2464;KG
;;CARTON BOX 37X33X17 CM (HB 50S) ;1;PCS
;;PACKAGING WKN BABY PINK 100S FT @3846;24;PCS
;;STC REMOVABLE TRANSPARANT 38X70 MM @5400;24;PCS
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,013714272;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,027428544;KG
;;PARFUM MELON FLOWERY 14576 ;0,004571424;KG
;;CHEMICAL MONTANOX DF 20/GLYCOSPERSE ;0,003657139;KG
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,009142848;KG
;;CHEMICAL SODIUM BENZOAT ;0,063999936;KG
;;CHEMICAL AQUADEST ;9,020333837;KG
;;;;
4010110006;WETKINS BABY PINK 100S @16;JR FN 40-76 H 20% R/80%P 36 CM;1,4976;KG
;;CARTON BOX 37X33X17 CM (HB 50S) ;1;PCS
;;PACKAGING WKN BABY PINK 100S FT @3846;16;PCS
;;STC REMOVABLE TRANSPARANT 38X70 MM @5400;16;PCS
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,009142848;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,018285696;KG
;;PARFUM MELON FLOWERY 14576 ;0,003047616;KG
;;CHEMICAL MONTANOX DF 20/GLYCOSPERSE ;0,002438093;KG
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,006095232;KG
;;CHEMICAL SODIUM BENZOAT ;0,042666624;KG
;;CHEMICAL AQUADEST ;6,013555891;KG
;;;;
4010110002;WETKINS BABY PINK 100S FT @24;JR FN 40-76 H 20% R/80%P 36 CM;2,2464;KG
;;CARTON BOX 37X33X17 CM (HB 50S) ;1;PCS
;;PACKAGING WKN BABY PINK 100S FT @3846;24;PCS
;;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;24;PCS
;;FLIP TOP WHITE (NEW CHINA) ;24;PCS
;;STC FLIPTOP WKN PINK 100S FT ;24;PCS
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,013714272;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,027428544;KG
;;PARFUM MELON FLOWERY 14576 ;0,004571424;KG
;;CHEMICAL MONTANOX DF 20/GLYCOSPERSE ;0,003657139;KG
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,009142848;KG
;;CHEMICAL SODIUM BENZOAT ;0,063999936;KG
;;CHEMICAL AQUADEST ;9,020333837;KG
;;;;
4010110003;WETKINS BABY PINK 100S FT FG @18;JR FN 40-76 H 20% R/80%P 36 CM;1,6848;KG
;;CARTON BOX WETKINS 50S ;1;PCS
;;PACKAGING WKN BABY PINK 100S FT @3846;18;PCS
;;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;18;PCS
;;FLIP TOP WHITE (NEW CHINA) ;18;PCS
;;STC FLIPTOP WKN PINK 100S FT FG ;18;PCS
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,010285704;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,020571408;KG
;;PARFUM MELON FLOWERY 14576 ;0,003428568;KG
;;CHEMICAL MONTANOX DF 20/GLYCOSPERSE ;0,002742854;KG
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,006857136;KG
;;CHEMICAL SODIUM BENZOAT ;0,047999952;KG
;;CHEMICAL AQUADEST ;6,765250378;KG
;;;;
4010110004;WETKINS BABY PINK 100S FT FG MLN @18;;;
;;;;
;;;;
4010111001;WETKINS ANTISEPTIC 1S @720;JR FN 40-76 H 30% R/70%P 14 CM WKN 1S;0,504;KG
;;CARTON BOX AIR FAST/ HQ ;1;PCS
;;PACKAGING WKN 1S ANTISEPTIC @15000;720;PCS
;;PLASTIK PP 16X25CM ;0,1626;KG
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,00153846;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,002461536;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,0025641;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,00410256;KG
;;CHEMICAL AQUADEST ;2,040613344;KG
;;;;
4010112001;WETKINS ANTISEPTIC 10S @108;JR FN 40-76 H 30% R/70%P 27 CM;1,01088;KG
;;CARTON BOX WETKINS 10S @108 ;1;PCS
;;PACKAGING WKN UNSCENTED 10S DOFF @6250;108;PCS
;;STC REMOVABLE TRANSPARANT ORG @5800;108;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,003085711;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,004937138;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,005142852;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,008228563;KG
;;CHEMICAL AQUADEST ;4,092887336;KG
;;;;
4010112003;WETKINS ANTISEPTIC 10S @18X8;JR FN 40-76 H 30% R/70%P 27 CM;1,34784;KG
;;CARTON BOX HOUSE BRAND 10S ;1;PCS
;;PACKAGING WKN UNSCENTED 10S DOFF @6250;144;PCS
;;STC REMOVABLE TRANSPARANT ORG @5800;144;PCS
;;PLASTIK PP 20X31 CM ;0,07542;KG
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,003085711;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,004937138;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,005142852;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,008228563;KG
;;CHEMICAL AQUADEST ;4,092887336;KG
;;;;
4010112002;WETKINS ANTISEPTIC 10S BND @54X2;JR FN 40-76 H 30% R/70%P 27 CM;1,01088;KG
;;CARTON BOX WETKINS 10S @108 ;1;PCS
;;PACKAGING WKN UNSCENTED 10S DOFF @6250;108;PCS
;;STC REMOVABLE TRANSPARANT ORG @5800;108;PCS
;;PLASTIK BANDED 10S ;54;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,003085711;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,004937138;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,005142852;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,008228563;KG
;;CHEMICAL AQUADEST ;4,092887336;KG
;;;;
4010113001;WETKINS ANTISEPTIC 24S @54;JR FN 40-76 H 30% R/70%P 27 CM;1,213056;KG
;;CARTON BOX HOUSE BRAND 10S ;1;PCS
;;PACKAGING WKN ANTISEPTIC 24S @6060;54;PCS
;;STC REMOVABLE TRANSPARANT ORG @5800;54;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,003702853;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,005924566;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,006171422;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,009874276;KG
;;CHEMICAL AQUADEST ;4,911464803;KG
;;;;
4010113002;WETKINS ANTISEPTIC 24S @72;JR FN 40-76 H 30% R/70%P 27 CM;1,617408;KG
;;CARTON BOX 37X33X17 CM (HB 50S) ;1;PCS
;;PACKAGING WKN ANTISEPTIC 24S @6060;72;PCS
;;STC REMOVABLE TRANSPARANT ORG @5800;72;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,004937138;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,007899421;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,008228563;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,013165701;KG
;;CHEMICAL AQUADEST ;6,548619737;KG
;;;;
4010113004;WETKINS ANTISEPTIC 24S @6;JR FN 40-76 H 30% R/70%P 27 CM;0,134784;KG
;;CARTON BOX SINGLE WALL 10S & 24S NO 4 ;1;PCS
;;PACKAGING WKN ANTISEPTIC 24S @6060;6;PCS
;;STC REMOVABLE TRANSPARANT ORG @5800;6;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,000411428;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,000658285;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,000685714;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,001097142;KG
;;CHEMICAL AQUADEST ;0,545718311;KG
;;;;
4010113003;WETKINS ANTISEPTIC 24S BND @27X2;JR FN 40-76 H 20% R/80%P 36 CM;1,213056;KG
;;CARTON BOX WETKINS 50S ;1;PCS
;;PACKAGING WKN ANTISEPTIC 24S @6060;54;PCS
;;STC REMOVABLE TRANSPARANT ORG @5800;54;PCS
;;PLASTIK BANDED 24S ;27;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,003702853;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,005924566;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,006171422;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,009874276;KG
;;CHEMICAL AQUADEST ;4,911464803;KG
;;;;
4010113005;WETKINS ANTISEPTIC 24S BND @15X4;JR FN 40-76 H 20% R/80%P 40 CM;1,34784;KG
;;CARTON BOX WETKINS 50S ;1;PCS
;;PACKAGING WKN ANTISEPTIC 24S @6060;60;PCS
;;STC REMOVABLE TRANSPARANT ORG @5800;60;PCS
;;STC LABEL TEA TREE OIL ;60;PCS
;;PLASTIK PP 16X25CM ;0,04065;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,006857136;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,016457126;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,006582851;KG
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,002742854;KG
;;CHEMICAL TEA TREE OIL ;0,000548571;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,001097142;KG
;;CHEMICAL AQUADEST ;5,457183114;KG
;;;;
4010114001;WETKINS ANTISEPTIC 50S @24;JR FN 40-76 H 20% R/80%P 36 CM;1,1232;KG
;;CARTON BOX WETKINS 50S ;1;PCS
;;PACKAGING WKN ANTISEPTIC 50S @4545;24;PCS
;;STC REMOVABLE TRANSPARANT 38X70 MM @5400;24;PCS
;;STC LABEL TEA TREE OIL ;24;PCS
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,00571428;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,013714272;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,005485709;KG
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,002285712;KG
;;CHEMICAL TEA TREE OIL ;0,000228571;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,006857136;KG
;;PARFUM GREEN TEA ;0,004571424;KG
;;CHEMICAL AQUADEST ;4,532566896;KG
;;;;
3050103001;WIP WETKINS ANTISEPTIC 50S ;JR 40-76 H 20% R/80%P 36 CM ADPZ40;1,1232;KG
;;PACKAGING WKN ANTISEPTIC 50S @4545;24;PCS
;;STC REMOVABLE TRANSPARANT ORG @5800;24;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,003117;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,017455;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,012468;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,005195;KG
;;CHEMICAL AQUADEST ;4,117606;KG
;;;;
4010114002;WETKINS ANTISEPTIC 50S BND @12X2;WIP WETKINS ANTISEPTIC 50S ;24;PCK
;;CARTON BOX WETKINS 50S ;1;PCS
;;POLYBAG WETKINS ANTISEPTIC 50S BND @3875;12;PCS
;;PARTISI COAK 1 205 X 190 MM WETKINS 50S  ;1;PCS
;;PARTISI COAK 1 355 X 190 MM WETKINS 50S  ;1;PCS
;;;;
3050103001;WIP WETKINS ANTISEPTIC 50S ;JR 40-76 H 20% R/80%P 36 CM ADPZ40;1,1232;KG
;Pakai Packaging 80S;PACKAGING WKN ANTISEPTICS 80S FT @4166;24;PCS
;;STC REMOVABLE TRANSPARANT ORG @6500;24;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,003117;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,017455;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,012468;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,005195;KG
;;CHEMICAL AQUADEST ;4,117606;KG
;;;;
4010114003;WETKINS ANTISEPTIC 50S FT @24;WIP WETKINS ANTISEPTIC 50S ;24;PCK
;Pakai Packaging 80S;CARTON BOX 37X33X17 CM (HB 50S) ;1;PCS
;;STC LABEL 50S ;72;PCS
;;STC BARCODE WETKINS ANTISEPTIC 50S ;24;PCS
;;PLASTIK PP 17X28 CM ;0,03864;KG
;;STC FLIPTOP WKN ANTISEPTIC 50S FT @4000;24;PCS
;;FLIP TOP WHITE (NEW CHINA) ;24;PCS
;;PARTISI COAK 1 205 X 190 MM WETKINS 50S  ;1;PCS
;;PARTISI COAK 1 355 X 190 MM WETKINS 50S  ;1;PCS
;;;;
4010114005;WETKINS ANTISEPTIC 50S BND TT @12X2;JR FN 40-76 H 20% R/80%P 36 CM;1,1232;KG
;;CARTON BOX WETKINS 50S ;1;PCS
;;PACKAGING WKN ANTISEPTIC 50S @4545;24;PCS
;;STC REMOVABLE TRANSPARANT 38X70 MM @5400;24;PCS
;;POLYBAG WETKINS ANTISEPTIC 50S BND @3875;12;PCS
;;STC LABEL TEA TREE OIL ;24;PCS
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,00571428;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,013714272;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,005485709;KG
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,002285712;KG
;;CHEMICAL TEA TREE OIL ;0,000228571;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,006857136;KG
;;PARFUM GREEN TEA ;0,004571424;KG
;;CHEMICAL AQUADEST ;4,532566896;KG
;;;;
4010114006;WETKINS ANTISEPTIC 50S BND TT @3X6;JR FN 40-76 H 20% R/80%P 36 CM;0,8424;KG
;;CARTON BOX WETKINS 50S ;1;PCS
;;PACKAGING WKN ANTISEPTIC 50S @4545;18;PCS
;;STC REMOVABLE TRANSPARANT 38X70 MM @5400;18;PCS
;;PLASTIK PP 25X40 CM ;0,0186;KG
;;STC LABEL TEA TREE OIL ;18;PCS
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,00428571;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,010285704;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,004114282;KG
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,001714284;KG
;;CHEMICAL TEA TREE OIL ;0,000342857;KG
;;CHEMICAL TAGAT CH40/PEG 40 HCO/MATPERS HP382 ;0,000685714;KG
;;CHEMICAL AQUADEST ;3,410739446;KG
;;;;
4010114003;WETKINS ANTISEPTIC 50S FT @24;JR FN 40-76 H 20% R/80%P 36 CM;1,1232;KG
;;CARTON BOX WETKINS 50S ;1;PCS
;;PACKAGING WKN ANTISEPTIC 50SFT @4347;24;PCS
;;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;24;PCS
;;STC FLIPTOP WKN ANTISEPTIC 50S FT @4000;24;PCS
;;FLIP TOP WHITE (NEW CHINA) ;24;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,003428568;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,00571428;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,009142848;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,005485709;KG
;;CHEMICAL AQUADEST ;4,547652595;KG
;;;;
4010114004;WETKINS ANTISEPTIC 50S FT @6;JR FN 40-76 H 30% R/70%P 37 CM (WETKINS);0,2808;KG
;;CARTON BOX SINGLE WALL 10S & 24S NO 4 ;1;PCS
;;PACKAGING WKN ANTISEPTIC 50SFT @4347;6;PCS
;;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;6;PCS
;;STC FLIPTOP WKN ANTISEPTIC 50S FT @4000;6;PCS
;;FLIP TOP WHITE (NEW CHINA) ;6;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,000857142;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,00142857;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,002285712;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,001371427;KG
;;CHEMICAL AQUADEST ;1,136913149;KG
;;;;
4010115001;WETKINS ANTISEPTIC 60S BTL @20;MR FN 40-76 H 30%R/70%P 152 CM (WKN);1,44;KG
;;CARTON BOX NAOMI 80S ;1;PCS
;;BOTOL WETKINS ;20;PCS
;;CAP BOTOL WETKINS WHITE ;20;PCS
;;PLASTIK PRINTING WETKINS ANTISEPTIC BTL ;20;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,0042768;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,00684288;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,007128;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,0114048;KG
;;CHEMICAL AQUADEST ;5,67274752;KG
;;;;
4010116001;WETKINS ANTISEPTIC 80S FT @18;JR FN 40-76 H 20% R/80%P 36 CM;1,34784;KG
;;CARTON BOX WETKINS 50S ;1;PCS
;;PACKAGING WKN ANTISEPTIC 50SFT @4347;18;PCS
;;STC REMOVABLE INNER FLIP TOP 5X3CM (BIRU) @7400;18;PCS
;;STC FLIPTOP WKN ANTISEPTIC 80S FT ;18;PCS
;;FLIP TOP WHITE (NEW CHINA) ;18;PCS
;;CHEMICAL ALOE VERA EXTRACT MME 001B ;0,004114282;KG
;;CHEMICAL ISOCIL/SUPGUARD/TROYCARE BC 04/MERGAL/GLOCIDE CMIT ;0,006582851;KG
;;CHEMICAL CETHYL PYRIDINIUM CHLORIDE ;0,006857136;KG
;;CHEMICAL VANTOCIL TG/PHMB 20% ;0,010971418;KG
